,date,holding,marketValue
37,2019-12-31,Liberty Media Corp-Liberty Formula One,222017661.0
38,2019-12-31,VICI Properties Inc.,219946409.0
39,2019-12-31,Gaming and Leisure Properties Inc.,219870686.0
40,2019-12-31,Universal Display Corp.,219014081.0
41,2019-12-31,Bright Horizons Family Solutions Inc.,218054859.0
42,2019-12-31,RenaissanceRe Holdings Ltd.,217344232.0
43,2019-12-31,Cypress Semiconductor Corp.,216986987.0
44,2019-12-31,Graco Inc.,216282664.0
45,2019-12-31,Zendesk Inc.,215433980.0
46,2019-12-31,Toro Co.,212899353.0
47,2019-12-31,Molina Healthcare Inc.,212713207.0
48,2019-12-31,Nordson Corp.,209714471.0
49,2019-12-31,Bio-Techne Corp.,208817229.0
50,2019-12-31,Aspen Technology Inc.,205032582.0
51,2019-12-31,Catalent Inc.,204242381.0
52,2019-12-31,Euronet Worldwide Inc.,202073694.0
53,2019-12-31,Pool Corp.,201635908.0
54,2019-12-31,Service Corp. International/US,201623138.0
55,2019-12-31,Royal Gold Inc.,200294156.0
56,2019-12-31,Genpact Ltd.,200238510.0
57,2019-12-31,American Financial Group Inc./OH,199968815.0
58,2019-12-31,STORE Capital Corp.,198596414.0
59,2019-12-31,Bio-Rad Laboratories Inc. Class A,197215999.0
60,2019-12-31,PTC Inc.,194101999.0
61,2019-12-31,Assurant Inc.,193115445.0
62,2019-12-31,Apartment Investment & Management Co.,192954483.0
63,2019-12-31,Lamar Advertising Co. Class A,191825453.0
64,2019-12-31,Ionis Pharmaceuticals Inc.,190876873.0
65,2019-12-31,Cable One Inc.,190466110.0
66,2019-12-31,Masimo Corp.,189671842.0
67,2019-12-31,Burlington Stores Inc.,188613190.0
68,2019-12-31,Spirit AeroSystems Holdings Inc. Class A,188413457.0
69,2019-12-31,Hill-Rom Holdings Inc.,188290300.0
70,2019-12-31,LPL Financial Holdings Inc.,186742505.0
71,2019-12-31,Caesars Entertainment Corp.,186668514.0
72,2019-12-31,Charles River Laboratories International Inc.,186170903.0
73,2019-12-31,AptarGroup Inc.,185849091.0
74,2019-12-31,CyrusOne Inc.,184897067.0
75,2019-12-31,Gentex Corp.,184488477.0
76,2019-12-31,Monolithic Power Systems Inc.,183570664.0
77,2019-12-31,Douglas Emmett Inc.,183354189.0
78,2019-12-31,Donaldson Co. Inc.,180607873.0
79,2019-12-31,TCF Financial Corp.,179365072.0
80,2019-12-31,Five Below Inc.,177540514.0
81,2019-12-31,Owens Corning,176876079.0
82,2019-12-31,Signature Bank/New York NY,176504082.0
83,2019-12-31,East West Bancorp Inc.,176409711.0
84,2019-12-31,Chemed Corp.,176159513.0
85,2019-12-31,Commerce Bancshares Inc./MO,175704662.0
86,2019-12-31,PRA Health Sciences Inc.,175465169.0
87,2019-12-31,Woodward Inc.,174104668.0
88,2019-12-31,Steel Dynamics Inc.,173670412.0
89,2019-12-31,Post Holdings Inc.,173177048.0
90,2019-12-31,Starwood Property Trust Inc.,171801717.0
91,2019-12-31,Arrow Electronics Inc.,170749659.0
92,2019-12-31,Ceridian HCM Holding Inc.,170516189.0
93,2019-12-31,Encompass Health Corp.,170144022.0
94,2019-12-31,American Homes 4 Rent Class A,169990040.0
95,2019-12-31,GCI Liberty Inc. Class A,169157634.0
96,2019-12-31,Entegris Inc.,168974858.0
97,2019-12-31,Horizon Therapeutics plc,168888783.0
98,2019-12-31,Americold Realty Trust,168140257.0
99,2019-12-31,Novocure Ltd.,167473479.0
100,2019-12-31,HD Supply Holdings Inc.,167220080.0
101,2019-12-31,Leggett & Platt Inc.,166601221.0
102,2019-12-31,New Residential Investment Corp.,166509142.0
103,2019-12-31,CDK Global Inc.,164933854.0
104,2019-12-31,Ciena Corp.,164763378.0
105,2019-12-31,Prosperity Bancshares Inc.,163694177.0
106,2019-12-31,Old Republic International Corp.,161796752.0
107,2019-12-31,Brixmor Property Group Inc.,161304215.0
108,2019-12-31,American Campus Communities Inc.,161280590.0
109,2019-12-31,Proofpoint Inc.,161208740.0
110,2019-12-31,ITT Inc.,160912713.0
111,2019-12-31,Flowserve Corp.,160909546.0
112,2019-12-31,Oshkosh Corp.,160508890.0
113,2019-12-31,HubSpot Inc.,160282808.0
114,2019-12-31,AECOM,159872818.0
115,2019-12-31,Healthcare Trust of America Inc. Class A,158186232.0
116,2019-12-31,CACI International Inc. Class A,158082926.0
117,2019-12-31,RingCentral Inc. Class A,157512817.0
118,2019-12-31,Generac Holdings Inc.,157269347.0
119,2019-12-31,First American Financial Corp.,156643496.0
120,2019-12-31,IAA Inc.,156544996.0
121,2019-12-31,Berry Global Group Inc.,156489523.0
122,2019-12-31,Dunkin' Brands Group Inc.,156130982.0
123,2019-12-31,Middleby Corp.,155308231.0
124,2019-12-31,Avantor Inc.,155179886.0
125,2019-12-31,MongoDB Inc.,154725059.0
126,2019-12-31,Sonoco Products Co.,154579098.0
127,2019-12-31,Ingredion Inc.,154417091.0
128,2019-12-31,CubeSmart,154267110.0
129,2019-12-31,Hexcel Corp.,154228478.0
130,2019-12-31,Park Hotels & Resorts Inc.,153704587.0
131,2019-12-31,Sealed Air Corp.,153617579.0
132,2019-12-31,Sabre Corp.,153198980.0
133,2019-12-31,Teladoc Health Inc.,152879585.0
134,2019-12-31,Medicines Co.,152820565.0
135,2019-12-31,Planet Fitness Inc. Class A,152302765.0
136,2019-12-31,MDU Resources Group Inc.,150636622.0
137,2019-12-31,Cousins Properties Inc.,150592963.0
138,2019-12-31,Arrowhead Pharmaceuticals Inc.,150231798.0
139,2019-12-31,Performance Food Group Co.,150200159.0
140,2019-12-31,Curtiss-Wright Corp.,149795657.0
141,2019-12-31,MKS Instruments Inc.,149311183.0
142,2019-12-31,Wyndham Hotels & Resorts Inc.,148694447.0
143,2019-12-31,BWX Technologies Inc.,147527967.0
144,2019-12-31,Watsco Inc.,147261095.0
145,2019-12-31,Polaris Inc.,147009486.0
146,2019-12-31,Lumentum Holdings Inc.,146501596.0
147,2019-12-31,Lincoln Electric Holdings Inc.,146267755.0
148,2019-12-31,Casey's General Stores Inc.,145340709.0
149,2019-12-31,Skechers U.S.A. Inc. Class A,145141852.0
150,2019-12-31,Hudson Pacific Properties Inc.,144906642.0
151,2019-12-31,Popular Inc.,144655073.0
152,2019-12-31,Stericycle Inc.,144644827.0
153,2019-12-31,Quanta Services Inc.,144563083.0
154,2019-12-31,Haemonetics Corp.,144458025.0
155,2019-12-31,PG&E Corp.,143934072.0
156,2019-12-31,ManpowerGroup Inc.,143529530.0
157,2019-12-31,Jack Henry & Associates Inc.,142529937.0
158,2019-12-31,Harley-Davidson Inc.,142482960.0
159,2019-12-31,Williams-Sonoma Inc.,142261946.0
160,2019-12-31,WPX Energy Inc.,141893956.0
161,2019-12-31,Jabil Inc.,141498049.0
162,2019-12-31,EPR Properties,139610494.0
163,2019-12-31,Cullen/Frost Bankers Inc.,137516325.0
164,2019-12-31,Capri Holdings Ltd.,137187514.0
165,2019-12-31,Hanover Insurance Group Inc.,136199309.0
166,2019-12-31,Allison Transmission Holdings Inc.,136049309.0
167,2019-12-31,Acuity Brands Inc.,135991824.0
168,2019-12-31,Synovus Financial Corp.,135974804.0
169,2019-12-31,JetBlue Airways Corp.,135310800.0
170,2019-12-31,Nutanix Inc.,135253361.0
171,2019-12-31,IDACORP Inc.,134481599.0
172,2019-12-31,Hanesbrands Inc.,134264775.0
173,2019-12-31,Amedisys Inc.,134093346.0
174,2019-12-31,Unum Group,134071265.0
175,2019-12-31,New York Community Bancorp Inc.,133670886.0
176,2019-12-31,Primerica Inc.,133660408.0
177,2019-12-31,First Industrial Realty Trust Inc.,133619113.0
178,2019-12-31,Madison Square Garden Co. Class A,133391336.0
179,2019-12-31,Exelixis Inc.,133269275.0
180,2019-12-31,Howard Hughes Corp.,132288411.0
181,2019-12-31,Cimarex Energy Co.,131829685.0
182,2019-12-31,Western Alliance Bancorp,131810334.0
183,2019-12-31,Zynga Inc. Class A,131671317.0
184,2019-12-31,ServiceMaster Global Holdings Inc.,130597114.0
185,2019-12-31,Macy's Inc.,130572971.0
186,2019-12-31,Etsy Inc.,130562378.0
187,2019-12-31,Trex Co. Inc.,130547195.0
188,2019-12-31,SYNNEX Corp.,130449026.0
189,2019-12-31,National Instruments Corp.,130444544.0
190,2019-12-31,First Horizon National Corp.,129977983.0
191,2019-12-31,HealthEquity Inc.,129964111.0
192,2019-12-31,Penumbra Inc.,129908658.0
193,2019-12-31,Anaplan Inc.,129126071.0
194,2019-12-31,Zillow Group Inc.,127903713.0
195,2019-12-31,Rexford Industrial Realty Inc.,127830741.0
196,2019-12-31,EastGroup Properties Inc.,127791591.0
197,2019-12-31,Eaton Vance Corp.,127701679.0
198,2019-12-31,Air Lease Corp. Class A,127696267.0
199,2019-12-31,Bruker Corp.,127395947.0
200,2019-12-31,Jefferies Financial Group Inc.,127385437.0
201,2019-12-31,Manhattan Associates Inc.,127311704.0
202,2019-12-31,Radian Group Inc.,127226069.0
203,2019-12-31,Nexstar Media Group Inc. Class A,127199835.0
204,2019-12-31,Portland General Electric Co.,127166331.0
205,2019-12-31,Tech Data Corp.,126985193.0
206,2019-12-31,Kirby Corp.,126947273.0
207,2019-12-31,Hawaiian Electric Industries Inc.,126902503.0
208,2019-12-31,JBG SMITH Properties,126543007.0
209,2019-12-31,Life Storage Inc.,126233365.0
210,2019-12-31,Highwoods Properties Inc.,125863673.0
211,2019-12-31,Blackstone Mortgage Trust Inc. Class A,125353647.0
212,2019-12-31,Nuance Communications Inc.,125345898.0
213,2019-12-31,Parsley Energy Inc. Class A,125252484.0
214,2019-12-31,Syneos Health Inc.,124952395.0
215,2019-12-31,Science Applications International Corp.,124836717.0
216,2019-12-31,Silicon Laboratories Inc.,124779403.0
217,2019-12-31,MGIC Investment Corp.,124174246.0
218,2019-12-31,Huntsman Corp.,123937925.0
219,2019-12-31,Cree Inc.,123746056.0
220,2019-12-31,ACADIA Pharmaceuticals Inc.,123427787.0
221,2019-12-31,Toll Brothers Inc.,123384357.0
222,2019-12-31,Gardner Denver Holdings Inc.,123226680.0
223,2019-12-31,Spirit Realty Capital Inc.,123208441.0
224,2019-12-31,Vail Resorts Inc.,122721011.0
225,2019-12-31,Gap Inc.,122617890.0
226,2019-12-31,Alliance Data Systems Corp.,122283863.0
227,2019-12-31,Black Hills Corp.,122128208.0
228,2019-12-31,Kemper Corp.,121703055.0
229,2019-12-31,ONE Gas Inc.,121682732.0
230,2019-12-31,Webster Financial Corp.,121667150.0
231,2019-12-31,Brunswick Corp./DE,121390583.0
232,2019-12-31,Essent Group Ltd.,121324800.0
233,2019-12-31,MAXIMUS Inc.,121099779.0
234,2019-12-31,Graphic Packaging Holding Co.,120982313.0
235,2019-12-31,Carter's Inc.,120760672.0
236,2019-12-31,EMCOR Group Inc.,120212448.0
237,2019-12-31,Reata Pharmaceuticals Inc. Class A,119889813.0
238,2019-12-31,Avalara Inc.,119348496.0
239,2019-12-31,DXC Technology Co.,119153158.0
240,2019-12-31,Cirrus Logic Inc.,118950594.0
241,2019-12-31,NRG Energy Inc.,118817321.0
242,2019-12-31,Axis Capital Holdings Ltd.,118595104.0
243,2019-12-31,Deckers Outdoor Corp.,118502740.0
244,2019-12-31,Envista Holdings Corp.,118041359.0
245,2019-12-31,H&R Block Inc.,117557152.0
246,2019-12-31,Mattel Inc.,116946093.0
247,2019-12-31,Tetra Tech Inc.,116666240.0
248,2019-12-31,Pinnacle Financial Partners Inc.,116568960.0
249,2019-12-31,WR Grace & Co.,116560022.0
250,2019-12-31,Alteryx Inc. Class A,116368301.0
251,2019-12-31,Wyndham Destinations Inc.,116287458.0
252,2019-12-31,NewMarket Corp.,116249089.0
253,2019-12-31,Churchill Downs Inc.,115906560.0
254,2019-12-31,AGCO Corp.,115719882.0
255,2019-12-31,Ashland Global Holdings Inc.,115454995.0
256,2019-12-31,Helmerich & Payne Inc.,115396425.0
257,2019-12-31,PacWest Bancorp,115230893.0
258,2019-12-31,Grand Canyon Education Inc.,115057967.0
259,2019-12-31,Jones Lang LaSalle Inc.,114267801.0
260,2019-12-31,Globus Medical Inc.,114250340.0
261,2019-12-31,Darling Ingredients Inc.,114247945.0
262,2019-12-31,Marriott Vacations Worldwide Corp.,114149732.0
263,2019-12-31,Helen of Troy Ltd.,113765179.0
264,2019-12-31,Herbalife Nutrition Ltd.,113717691.0
265,2019-12-31,Armstrong World Industries Inc.,113379785.0
266,2019-12-31,Credit Acceptance Corp.,113244884.0
267,2019-12-31,Global Blood Therapeutics Inc.,112961808.0
268,2019-12-31,First Financial Bankshares Inc.,112646395.0
269,2019-12-31,Grubhub Inc.,112337533.0
270,2019-12-31,Cognex Corp.,112210181.0
271,2019-12-31,New York Times Co. Class A,112004327.0
272,2019-12-31,Brink's Co.,111917256.0
273,2019-12-31,Assured Guaranty Ltd.,111676139.0
274,2019-12-31,NCR Corp.,111419368.0
275,2019-12-31,Landstar System Inc.,111194397.0
276,2019-12-31,Smartsheet Inc. Class A,110755561.0
277,2019-12-31,CIT Group Inc.,110316183.0
278,2019-12-31,Nordstrom Inc.,110137268.0
279,2019-12-31,Healthcare Realty Trust Inc.,110082791.0
280,2019-12-31,Chegg Inc.,109997609.0
281,2019-12-31,Valley National Bancorp,109948476.0
282,2019-12-31,Repligen Corp.,109366080.0
283,2019-12-31,MSA Safety Inc.,108784714.0
284,2019-12-31,Littelfuse Inc.,108615166.0
285,2019-12-31,Mirati Therapeutics Inc.,108541355.0
286,2019-12-31,Crane Co.,108465207.0
287,2019-12-31,Axon Enterprise Inc.,108421131.0
288,2019-12-31,j2 Global Inc.,107929743.0
289,2019-12-31,RealPage Inc.,107622926.0
290,2019-12-31,KBR Inc.,107592044.0
291,2019-12-31,Cabot Microelectronics Corp.,107127581.0
292,2019-12-31,Clean Harbors Inc.,106848702.0
293,2019-12-31,Sterling Bancorp/DE,106839827.0
294,2019-12-31,Brighthouse Financial Inc.,106483754.0
295,2019-12-31,Lazard Ltd. Class A,106396977.0
296,2019-12-31,Knight-Swift Transportation Holdings Inc.,106135608.0
297,2019-12-31,Avnet Inc.,105977603.0
298,2019-12-31,Glacier Bancorp Inc.,105928399.0
299,2019-12-31,L Brands Inc.,105772691.0
300,2019-12-31,ViaSat Inc.,105724322.0
301,2019-12-31,CoreSite Realty Corp.,105680724.0
302,2019-12-31,FNB Corp./PA,105398126.0
303,2019-12-31,Tempur Sealy International Inc.,105348172.0
304,2019-12-31,FTI Consulting Inc.,105223717.0
305,2019-12-31,Ryman Hospitality Properties Inc.,105197094.0
306,2019-12-31,Integra LifeSciences Holdings Corp.,104914316.0
307,2019-12-31,Rayonier Inc.,104803368.0
308,2019-12-31,New Jersey Resources Corp.,104671085.0
309,2019-12-31,Erie Indemnity Co. Class A,104589130.0
310,2019-12-31,Scotts Miracle-Gro Co.,104531449.0
311,2019-12-31,Paylocity Holding Corp.,104401166.0
312,2019-12-31,STAG Industrial Inc.,104343775.0
313,2019-12-31,ALLETE Inc.,104218546.0
314,2019-12-31,LogMeIn Inc.,103875125.0
315,2019-12-31,Foot Locker Inc.,103859574.0
316,2019-12-31,Dolby Laboratories Inc. Class A,103793262.0
317,2019-12-31,Sabra Health Care REIT Inc.,103448488.0
318,2019-12-31,First Solar Inc.,103192534.0
319,2019-12-31,ACI Worldwide Inc.,103161916.0
320,2019-12-31,Wintrust Financial Corp.,102531255.0
321,2019-12-31,Floor & Decor Holdings Inc. Class A,102379508.0
322,2019-12-31,Valvoline Inc.,102243883.0
323,2019-12-31,Wendy's Co.,101757403.0
324,2019-12-31,Coherent Inc.,101692749.0
325,2019-12-31,Univar Solutions Inc.,100870760.0
326,2019-12-31,Transocean Ltd.,100662147.0
327,2019-12-31,NuVasive Inc.,100225447.0
328,2019-12-31,frontdoor Inc.,100069620.0
329,2019-12-31,Tenet Healthcare Corp.,99529112.0
330,2019-12-31,Pure Storage Inc. Class A,99453894.0
331,2019-12-31,Umpqua Holdings Corp.,99431219.0
332,2019-12-31,PNM Resources Inc.,99224713.0
333,2019-12-31,AutoNation Inc.,99215461.0
334,2019-12-31,Spire Inc.,99167725.0
335,2019-12-31,Murphy Oil Corp.,98875866.0
336,2019-12-31,National Fuel Gas Co.,98874602.0
337,2019-12-31,Thor Industries Inc.,98828358.0
338,2019-12-31,Bank of Hawaii Corp.,98601937.0
339,2019-12-31,Service Properties Trust,98388209.0
340,2019-12-31,Moderna Inc.,98318829.0
341,2019-12-31,Chimera Investment Corp.,98165591.0
342,2019-12-31,Alcoa Corp.,98113047.0
343,2019-12-31,United Bankshares Inc./WV,98051502.0
344,2019-12-31,Affiliated Managers Group Inc.,97998251.0
345,2019-12-31,Stifel Financial Corp.,97788118.0
346,2019-12-31,Equity Commonwealth,97672369.0
347,2019-12-31,IBERIABANK Corp.,97648511.0
348,2019-12-31,MasTec Inc.,97630540.0
349,2019-12-31,Pentair plc,97582003.0
350,2019-12-31,Flowers Foods Inc.,97517270.0
351,2019-12-31,Outfront Media Inc.,97357083.0
352,2019-12-31,Macerich Co.,97126579.0
353,2019-12-31,Janus Henderson Group plc,96941658.0
354,2019-12-31,LHC Group Inc.,96876414.0
355,2019-12-31,Reliance Steel & Aluminum Co.,96732068.0
356,2019-12-31,nVent Electric plc,96576830.0
357,2019-12-31,Selective Insurance Group Inc.,96575530.0
358,2019-12-31,Blackbaud Inc.,96530920.0
359,2019-12-31,RLI Corp.,96424563.0
360,2019-12-31,Two Harbors Investment Corp.,96036850.0
361,2019-12-31,People's United Financial Inc.,95936534.0
362,2019-12-31,Five9 Inc.,95899339.0
363,2019-12-31,Wright Medical Group NV,95810070.0
364,2019-12-31,Nektar Therapeutics Class A,95606527.0
365,2019-12-31,Aaron's Inc.,95606480.0
366,2019-12-31,Choice Hotels International Inc.,95563218.0
367,2019-12-31,Mercury Systems Inc.,95498133.0
368,2019-12-31,RBC Bearings Inc.,95209684.0
369,2019-12-31,First Hawaiian Inc.,95060808.0
370,2019-12-31,Weingarten Realty Investors,94846483.0
371,2019-12-31,Sage Therapeutics Inc.,94715951.0
372,2019-12-31,Hancock Whitney Corp.,94671188.0
373,2019-12-31,Blueprint Medicines Corp.,94603181.0
374,2019-12-31,SiteOne Landscape Supply Inc.,94449595.0
375,2019-12-31,Eldorado Resorts Inc.,94406899.0
376,2019-12-31,Southwest Gas Holdings Inc.,94365376.0
377,2019-12-31,Timken Co.,93816965.0
378,2019-12-31,Eagle Materials Inc.,93795023.0
379,2019-12-31,ICU Medical Inc.,93784357.0
380,2019-12-31,Community Bank System Inc.,93698049.0
381,2019-12-31,United Therapeutics Corp.,93585705.0
382,2019-12-31,Verint Systems Inc.,93289738.0
383,2019-12-31,SLM Corp.,92773254.0
384,2019-12-31,Bank OZK,92608421.0
385,2019-12-31,Immunomedics Inc.,92594086.0
386,2019-12-31,Goodyear Tire & Rubber Co.,92566981.0
387,2019-12-31,Texas Roadhouse Inc. Class A,92407096.0
388,2019-12-31,Cracker Barrel Old Country Store Inc.,92115320.0
389,2019-12-31,Six Flags Entertainment Corp.,91734704.0
390,2019-12-31,Guardant Health Inc.,91557029.0
391,2019-12-31,TEGNA Inc.,91549156.0
392,2019-12-31,XPO Logistics Inc.,91110729.0
393,2019-12-31,Terreno Realty Corp.,90882273.0
394,2019-12-31,Perspecta Inc.,90494575.0
395,2019-12-31,Ingevity Corp.,90336677.0
396,2019-12-31,MSC Industrial Direct Co. Inc. Class A,90335998.0
397,2019-12-31,MFA Financial Inc.,89929277.0
398,2019-12-31,NorthWestern Corp.,89798855.0
399,2019-12-31,White Mountains Insurance Group Ltd.,89755050.0
400,2019-12-31,Pebblebrook Hotel Trust,89685000.0
401,2019-12-31,Physicians Realty Trust,89656695.0
402,2019-12-31,Ollie's Bargain Outlet Holdings Inc.,89484692.0
403,2019-12-31,Exponent Inc.,88975352.0
404,2019-12-31,Sanderson Farms Inc.,88736286.0
405,2019-12-31,Q2 Holdings Inc.,88682953.0
406,2019-12-31,Associated Banc-Corp,88611005.0
407,2019-12-31,Apple Hospitality REIT Inc.,88291759.0
408,2019-12-31,Robert Half International Inc.,88143696.0
409,2019-12-31,Cabot Oil & Gas Corp.,88123936.0
410,2019-12-31,ASGN Inc.,88067809.0
411,2019-12-31,Envestnet Inc.,88029588.0
412,2019-12-31,John Bean Technologies Corp.,87832553.0
413,2019-12-31,TopBuild Corp.,87289278.0
414,2019-12-31,Cinemark Holdings Inc.,86805346.0
415,2019-12-31,Nevro Corp.,86735940.0
416,2019-12-31,Semtech Corp.,86682839.0
417,2019-12-31,Neogen Corp.,86674025.0
418,2019-12-31,Louisiana-Pacific Corp.,86663578.0
419,2019-12-31,FLIR Systems Inc.,86586786.0
420,2019-12-31,Omnicell Inc.,86571798.0
421,2019-12-31,FireEye Inc.,86195437.0
422,2019-12-31,New Relic Inc.,85836907.0
423,2019-12-31,Regal Beloit Corp.,85803479.0
424,2019-12-31,CoreLogic Inc./United States,85567264.0
425,2019-12-31,Murphy USA Inc.,85501026.0
426,2019-12-31,BankUnited Inc.,85373669.0
427,2019-12-31,National Health Investors Inc.,85244050.0
428,2019-12-31,Viavi Solutions Inc.,85097625.0
429,2019-12-31,Tandem Diabetes Care Inc.,84238766.0
430,2019-12-31,Inphi Corp.,84126247.0
431,2019-12-31,Rexnord Corp.,84103591.0
432,2019-12-31,Bluebird Bio Inc.,83849513.0
433,2019-12-31,Strategic Education Inc.,83784792.0
434,2019-12-31,TripAdvisor Inc.,83685447.0
435,2019-12-31,Cornerstone OnDemand Inc.,82991346.0
436,2019-12-31,AMERCO,82094497.0
437,2019-12-31,Colfax Corp.,81976145.0
438,2019-12-31,Alkermes plc,81900492.0
439,2019-12-31,Aerojet Rocketdyne Holdings Inc.,81807515.0
440,2019-12-31,Morningstar Inc.,81725860.0
441,2019-12-31,Axalta Coating Systems Ltd.,81578248.0
442,2019-12-31,Avista Corp.,81577568.0
443,2019-12-31,PBF Energy Inc. Class A,81313110.0
444,2019-12-31,Insperity Inc.,81267877.0
445,2019-12-31,Steven Madden Ltd.,80915874.0
446,2019-12-31,FirstCash Inc.,80821174.0
447,2019-12-31,OneMain Holdings Inc.,80709832.0
448,2019-12-31,RH,80521098.0
449,2019-12-31,AO Smith Corp.,80515078.0
450,2019-12-31,Pegasystems Inc.,80404923.0
451,2019-12-31,American States Water Co.,80400620.0
452,2019-12-31,Macquarie Infrastructure Corp.,80325685.0
453,2019-12-31,Balchem Corp.,80320120.0
454,2019-12-31,Corporate Office Properties Trust,80286109.0
455,2019-12-31,Sunstone Hotel Investors Inc.,80226486.0
456,2019-12-31,CONMED Corp.,80021634.0
457,2019-12-31,PS Business Parks Inc.,79960796.0
458,2019-12-31,Qurate Retail Group Inc. QVC Group Class A,79921028.0
459,2019-12-31,Lithia Motors Inc. Class A,79902438.0
460,2019-12-31,Itron Inc.,79694575.0
461,2019-12-31,Federated Investors Inc. Class B,79301280.0
462,2019-12-31,Energizer Holdings Inc.,79240380.0
463,2019-12-31,Simpson Manufacturing Co. Inc.,79098917.0
464,2019-12-31,Valmont Industries Inc.,78852430.0
465,2019-12-31,Iovance Biotherapeutics Inc.,78790068.0
466,2019-12-31,Boston Beer Co. Inc. Class A,78779080.0
467,2019-12-31,CenterState Bank Corp.,78505345.0
468,2019-12-31,FibroGen Inc.,78480422.0
469,2019-12-31,Lancaster Colony Corp.,78461808.0
470,2019-12-31,South Jersey Industries Inc.,78211015.0
471,2019-12-31,LiveRamp Holdings Inc.,78178885.0
472,2019-12-31,UMB Financial Corp.,77509798.0
473,2019-12-31,KB Home,77208597.0
474,2019-12-31,EnerSys,77187145.0
475,2019-12-31,BJ's Wholesale Club Holdings Inc.,77148088.0
476,2019-12-31,QTS Realty Trust Inc. Class A,77064268.0
477,2019-12-31,Intercept Pharmaceuticals Inc.,77013802.0
478,2019-12-31,Columbia Sportswear Co.,76845930.0
479,2019-12-31,UniFirst Corp./MA,76685747.0
480,2019-12-31,MyoKardia Inc.,76589599.0
481,2019-12-31,Barnes Group Inc.,76507341.0
482,2019-12-31,Old National Bancorp/IN,76502040.0
483,2019-12-31,Ormat Technologies Inc.,76435388.0
484,2019-12-31,World Wrestling Entertainment Inc. Class A,75958618.0
485,2019-12-31,Tradeweb Markets Inc. Class A,75704475.0
486,2019-12-31,Kennametal Inc.,75624094.0
487,2019-12-31,Beyond Meat Inc.,75561671.0
488,2019-12-31,Acadia Healthcare Co. Inc.,75500489.0
489,2019-12-31,Chemours Co.,75047903.0
490,2019-12-31,SkyWest Inc.,74753385.0
491,2019-12-31,Ryder System Inc.,74398128.0
492,2019-12-31,Dick's Sporting Goods Inc.,74368524.0
493,2019-12-31,Builders FirstSource Inc.,74347170.0
494,2019-12-31,II-VI Inc.,74178377.0
495,2019-12-31,Agios Pharmaceuticals Inc.,74157803.0
496,2019-12-31,Cathay General Bancorp,74083616.0
497,2019-12-31,Teradata Corp.,73885200.0
498,2019-12-31,Navient Corp.,73774749.0
499,2019-12-31,CVB Financial Corp.,73756081.0
500,2019-12-31,Zscaler Inc.,73749140.0
501,2019-12-31,Spectrum Brands Holdings Inc.,73688619.0
502,2019-12-31,Retail Properties of America Inc.,73485412.0
503,2019-12-31,Independent Bank Corp.,73457802.0
504,2019-12-31,Texas Capital Bancshares Inc.,73169831.0
505,2019-12-31,Legg Mason Inc.,73108092.0
506,2019-12-31,Atlantic Union Bankshares Corp.,72991042.0
507,2019-12-31,Hilton Grand Vacations Inc.,72893250.0
508,2019-12-31,BancorpSouth Bank,72841926.0
509,2019-12-31,Novanta Inc.,72220016.0
510,2019-12-31,Vishay Intertechnology Inc.,72171993.0
511,2019-12-31,Agree Realty Corp.,71977018.0
512,2019-12-31,NeoGenomics Inc.,71929523.0
513,2019-12-31,Sensient Technologies Corp.,71863953.0
